audience_rating,writers_encoded,directors_encoded,tomatometer_rating,studio_name_encoded,tomatometer_status_encoded
53.0,53.0,64.15384615384616,49,60.56280193236715,2
64.0,54.833333333333336,59.4,86,71.98258011060099,0
53.0,57.833333333333336,61.7037037037037,68,53.0,1
97.0,92.0,65.79310344827586,100,84.04545454545455,0
74.0,74.0,60.6875,89,57.61538461538461,1
37.0,42.0,54.0,8,63.3192419481648,2
86.0,86.0,70.41666666666667,96,86.0,0
78.0,78.0,72.0,96,63.18636363636364,1
87.0,87.0,87.0,20,73.33333333333333,2
38.0,38.0,58.85714285714285,90,69.5359477124183,1
66.0,66.0,50.0,80,75.5,1
79.0,79.0,60.5,91,63.419878296146045,1
64.0,64.0,64.0,25,57.45430436988641,2
84.0,87.5,76.94117647058823,100,59.10020589754726,1
86.0,86.0,75.41504604201418,100,66.59209356047646,1
35.0,35.0,35.0,4,73.37931034482759,2
86.0,86.0,77.0,100,64.66666666666667,1
57.0,57.0,57.0,69,63.3192419481648,1
82.0,82.0,82.0,80,76.0,1
80.0,80.0,80.0,67,80.0,1
89.0,89.0,89.0,100,63.02608695652174,0
75.0,73.83333333333333,74.53846153846153,92,69.57692307692308,1
60.0,60.0,60.0,75,52.391304347826086,1
91.0,91.0,48.142857142857146,80,70.5,1
63.0,63.0,63.0,0,63.0,2
71.0,57.5,69.71428571428571,31,60.56280193236715,2
80.0,73.5,73.5,63,69.75,1
79.0,64.0,58.25,41,62.6,2
61.0,61.0,61.0,0,69.25,2
30.0,46.66666666666666,55.5,8,60.32960893854749,2
48.0,48.0,48.0,93,68.0,1
56.0,56.0,67.75,22,62.20725127424905,2
83.0,56.0,56.0,33,46.82142857142857,2
40.0,40.0,40.0,21,55.891891891891895,2
36.0,36.0,36.0,0,64.96666666666667,2
88.0,88.0,60.6875,100,59.10020589754726,1
65.0,65.0,65.0,75,65.60240963855422,0
66.0,66.0,66.0,15,66.0,2
73.0,64.0,50.16666666666666,86,69.75,1
85.0,83.0,83.0,64,81.33333333333333,1
75.0,75.0,79.66666666666667,32,55.552489304503226,2
63.0,65.66666666666667,77.52941176470588,60,60.32960893854749,1
63.0,68.0,63.0,50,63.0,2
60.0,60.0,72.0,24,60.0,2
42.0,54.5,70.0,0,69.5359477124183,2
77.0,77.0,68.83333333333333,96,63.419878296146045,1
65.0,65.0,48.66666666666666,14,61.5,2
78.0,78.0,70.5,40,60.32960893854749,2
67.0,67.0,64.5,60,58.830092084028365,1
94.0,81.66666666666667,82.5,99,60.56280193236715,0
20.0,30.166666666666668,28.0,36,58.0,2
94.0,82.33333333333333,79.0,100,60.56280193236715,0
68.0,68.0,68.0,42,64.48717948717949,2
58.0,58.0,58.0,27,55.891891891891895,2
42.0,42.0,30.33333333333333,21,42.0,2
55.0,38.5,38.333333333333336,9,59.02105263157895,2
67.0,67.0,60.7,92,55.27142857142857,1
65.0,65.0,65.0,67,65.0,1
84.0,68.42650572394776,84.0,84,84.0,0
78.0,78.0,70.0,97,56.98611111111112,1
93.0,93.0,80.0,100,93.0,1
64.0,64.0,64.0,87,75.88235294117646,1
80.0,80.0,80.0,81,60.784192679726594,0
66.0,66.0,66.0,86,61.0,1
48.0,67.0,62.5,36,48.0,2
82.0,82.0,82.0,78,82.0,1
85.0,63.375,62.0,68,85.0,1
79.0,68.42650572394776,75.33333333333333,69,57.45430436988641,1
20.0,20.0,20.0,54,20.0,2
58.0,58.0,58.0,35,78.0,2
60.47082875625534,68.42650572394776,60.47082875625534,20,74.23541437812767,2
61.0,63.0,63.0,100,35.857142857142854,1
31.0,52.75,58.41666666666666,14,59.02105263157895,2
61.0,68.42650572394776,49.0,67,46.82142857142857,1
29.0,29.0,38.5,25,61.64556962025316,2
57.0,60.142857142857146,64.0,82,57.0,0
55.0,55.0,62.0,58,73.0,2
65.0,65.0,71.5,0,55.42857142857143,2
40.0,39.5,53.6,36,64.48717948717949,2
24.0,60.0,58.0,18,60.56280193236715,2
79.0,79.0,79.0,69,71.98258011060099,1
33.0,68.42650572394776,33.0,40,59.12396694214876,2
43.0,43.0,43.0,100,33.833333333333336,1
59.0,59.0,59.0,55,46.82142857142857,2
69.0,69.0,57.5,88,63.7,0
33.0,33.0,33.0,50,64.48717948717949,2
63.0,63.0,80.4,92,70.77777777777777,1
39.0,39.0,39.0,45,62.20725127424905,2
58.0,67.5,71.72222222222223,53,60.57142857142857,2
87.0,87.0,87.0,96,55.552489304503226,0
78.0,78.0,78.0,75,52.7267143400751,1
52.0,52.0,45.8,40,67.33050847457628,2
45.0,46.0,46.0,22,45.0,2
43.0,43.0,51.5,22,58.7093023255814,2
22.0,26.0,39.27272727272727,13,22.0,2
46.0,46.0,58.11111111111112,14,54.71236873036421,2
33.0,36.333333333333336,31.0,73,64.34328358208955,1
50.0,44.0,54.0,72,58.7093023255814,1
54.0,54.0,67.0,37,54.71236873036421,2
64.0,64.0,54.333333333333336,46,65.85714285714286,2
36.0,36.0,36.0,54,57.45430436988641,2
21.0,21.0,50.4,7,63.3192419481648,2
38.0,47.5,47.5,56,38.0,2
58.0,65.5,58.0,31,58.0,2
61.0,61.0,61.0,41,62.14686825053996,2
40.0,40.0,46.0,25,40.0,2
78.0,78.0,78.0,96,78.75,1
67.0,68.42650572394776,59.66666666666666,87,57.45430436988641,0
73.0,73.0,73.0,73,67.5,1
58.0,58.0,58.0,50,65.35,2
58.0,58.0,58.0,34,60.875,2
54.0,68.42650572394776,61.0,73,57.45430436988641,1
27.0,27.0,27.0,0,60.81818181818182,2
62.0,62.0,62.0,78,43.8445435418156,1
55.0,68.42650572394776,55.0,83,43.8445435418156,1
46.0,46.0,73.75,38,60.32960893854749,2
72.0,72.0,72.0,67,65.35,1
54.0,54.0,63.6,55,57.45430436988641,2
65.0,66.0,52.8,26,60.56280193236715,2
55.0,55.0,64.5,76,63.3192419481648,0
32.0,32.0,32.0,32,64.48717948717949,2
84.0,81.5,77.4,89,54.5625,0
44.0,44.0,44.0,21,50.0,2
36.0,36.0,57.25,54,73.0,2
54.0,54.0,54.0,17,54.0,2
33.0,33.0,52.333333333333336,9,57.45430436988641,2
52.0,52.0,65.2,16,53.285714285714285,2
18.0,18.0,55.75,12,18.0,2
47.0,47.0,47.0,82,56.285714285714285,1
61.0,48.2,42.6,93,56.98611111111112,0
46.0,54.5,59.25,41,45.66666666666666,2
52.0,52.0,45.0,16,54.833333333333336,2
76.0,76.0,80.5,93,55.552489304503226,0
32.0,32.0,55.333333333333336,26,62.14686825053996,2
82.0,82.0,82.0,89,82.0,1
56.0,50.0,56.6,60,56.0,1
32.0,32.0,45.66666666666666,38,54.65217391304348,2
24.0,50.25,48.333333333333336,44,63.3192419481648,2
68.0,68.0,48.5,49,68.0,2
26.0,26.0,26.0,31,59.15694291875178,2
39.0,39.0,39.0,79,39.0,1
66.0,66.0,57.0,36,65.14285714285714,2
52.0,52.0,68.33333333333333,70,61.0,1
80.0,80.0,80.0,68,65.39508699636202,1
62.0,56.11770718906384,67.70833333333333,55,63.3192419481648,2
35.0,29.0,55.5,19,37.5,2
43.0,43.0,55.0,38,46.82142857142857,2
90.0,90.0,66.0,80,55.552489304503226,0
33.0,33.0,33.0,9,60.56280193236715,2
46.0,46.0,42.0,15,48.75,2
64.0,64.0,52.5,64,55.552489304503226,1
80.0,67.5,66.0,92,73.0,0
54.0,54.0,54.0,61,57.45430436988641,1
69.0,42.6,69.0,70,57.45430436988641,1
55.0,55.0,55.0,33,54.5,2
68.0,53.0,68.0,73,72.33333333333333,0
39.0,39.0,39.0,22,67.33050847457628,2
18.0,18.0,62.16666666666666,15,47.31428571428572,2
67.0,67.0,70.0,62,60.22727272727273,1
38.0,38.0,38.0,13,38.0,2
59.0,59.0,68.0,68,56.765957446808514,1
68.0,62.6,62.6,93,55.552489304503226,1
67.0,67.0,67.0,74,57.45430436988641,0
67.0,68.0,67.0,71,75.0,1
31.0,31.0,53.85714285714285,29,54.71236873036421,2
81.0,81.0,80.27272727272727,77,59.48648648648648,1
44.0,55.5,52.5,5,67.33050847457628,2
38.0,41.333333333333336,47.2,37,54.55439491446925,2
28.0,53.4,28.0,53,57.5,2
65.0,65.0,72.66666666666667,51,64.64788732394366,2
58.0,58.0,64.3,45,62.20725127424905,2
38.0,38.0,38.0,38,62.20725127424905,2
65.0,68.42650572394776,65.0,73,49.66666666666666,1
41.0,37.5,37.5,67,55.875,1
19.0,19.0,13.0,13,19.0,2
89.0,89.0,82.5,88,63.78740157480315,0
18.0,18.0,18.0,28,66.40024482879933,2
58.0,47.0,48.25,44,59.42857142857143,2
49.0,49.0,49.85714285714285,20,60.56280193236715,2
66.0,66.0,44.25,86,55.552489304503226,0
46.0,42.66666666666666,43.75,41,46.0,2
60.47082875625534,60.47082875625534,51.23541437812767,29,53.62418968767376,2
65.0,65.0,73.5,71,65.39508699636202,1
41.0,41.0,41.0,31,41.0,2
42.0,42.0,63.0,23,55.660714285714285,2
82.0,81.0,74.33333333333333,61,59.12396694214876,1
11.0,11.0,20.5,0,45.6,2
30.0,40.0,48.66666666666666,10,48.6,2
29.0,29.0,29.0,29,48.940298507462686,2
75.0,75.0,53.0,29,75.0,2
73.0,73.0,77.66666666666667,74,57.45430436988641,1
82.0,85.0,85.0,40,82.0,2
68.0,68.0,68.0,87,65.35,1
85.0,85.0,80.0,79,67.0,1
49.0,49.0,49.0,74,49.0,1
49.0,57.66666666666666,57.66666666666666,61,57.0,1
71.0,79.5,71.0,78,65.35,1
67.0,67.0,59.16666666666666,44,67.33050847457628,2
34.0,24.0,24.0,36,49.888888888888886,2
82.0,87.66666666666667,82.0,72,82.0,1
37.0,37.0,39.0,50,55.552489304503226,2
70.0,70.0,75.6,100,63.3125,1
63.0,51.0,54.875,56,63.3192419481648,2
84.0,84.0,58.25,78,63.3192419481648,0
34.0,34.0,36.0,11,51.23529411764706,2
92.0,92.0,92.0,80,55.891891891891895,0
67.0,68.42650572394776,67.5,100,55.552489304503226,1
100.0,100.0,100.0,81,66.40024482879933,1
30.0,30.0,50.4,11,47.285714285714285,2
36.0,36.0,36.0,50,57.45430436988641,2
30.0,30.0,30.0,5,60.56280193236715,2
41.0,41.0,41.0,16,43.8445435418156,2
31.0,29.5,24.666666666666668,70,46.82142857142857,1
58.0,53.5,62.333333333333336,71,53.62418968767376,1
43.0,43.0,43.0,20,53.62418968767376,2
32.0,32.0,32.0,33,55.552489304503226,2
21.0,33.0,33.0,27,60.81818181818182,2
44.0,42.66666666666666,42.66666666666666,61,61.64556962025316,1
38.0,38.0,38.0,0,51.5,2
63.0,76.66666666666667,66.25,45,55.552489304503226,2
85.0,68.42650572394776,57.75,95,66.40024482879933,0
75.0,75.0,41.75,89,67.0,0
62.0,62.0,62.0,94,33.833333333333336,1
72.0,77.5,77.5,81,65.39508699636202,1
94.0,82.4,84.1875,94,69.5359477124183,0
22.0,34.5,34.5,28,60.81818181818182,2
12.0,12.0,12.0,40,15.0,2
36.0,36.0,50.5,24,62.20725127424905,2
76.0,80.5,81.75,78,57.45430436988641,0
79.0,79.0,69.73541437812767,84,79.0,0
35.0,35.0,35.0,65,35.0,1
75.0,75.0,83.28571428571429,81,63.78740157480315,0
60.0,60.0,72.6,91,55.552489304503226,1
